State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Madhya Pradesh",Shajapur,Nalkehda,Wheat,Wheat,FAQ,06/04/2025,2250,2325,2300
"Madhya Pradesh",Shivpuri,Badarwas,"Bengal Gram(Gram)(Whole)",Gram,FAQ,06/04/2025,5650,5650,5650
"Madhya Pradesh",Shivpuri,Barad,"Bengal Gram(Gram)(Whole)",Gram,FAQ,06/04/2025,5300,5440,5400
"Madhya Pradesh",Shivpuri,Shivpuri,Wheat,Wheat,FAQ,06/04/2025,2341,2354,2354
"Madhya Pradesh",Tikamgarh,Niwadi,Wheat,Wheat,Non-FAQ,06/04/2025,2320,2340,2325
"Madhya Pradesh",Ujjain,Badnagar,Wheat,"Malwa Shakti",FAQ,06/04/2025,2350,2400,2400
"Madhya Pradesh",Ujjain,Badnagar,Wheat,"Mill Quality",Non-FAQ,06/04/2025,2600,2630,2610
"Madhya Pradesh",Ujjain,Tarana,Wheat,Wheat,FAQ,06/04/2025,2300,2402,2402
"Madhya Pradesh",Ujjain,Ujjain,Soyabean,Soyabeen,Non-FAQ,06/04/2025,3275,3500,3500
"Madhya Pradesh",Ujjain,Ujjain,Wheat,Wheat,FAQ,06/04/2025,2400,2425,2425
"Madhya Pradesh",Ujjain,Unhel,Wheat,Wheat,FAQ,06/04/2025,2500,2600,2500
"Madhya Pradesh",Umariya,Umariya,"Bengal Gram(Gram)(Whole)",Gram,Non-FAQ,06/04/2025,5300,5500,5500
Maharashtra,Ahmednagar,Parner,Onion,Other,Local,06/04/2025,400,1600,1250
Maharashtra,Ahmednagar,Rahata,Cabbage,Other,Local,06/04/2025,200,1000,600
Maharashtra,Ahmednagar,Rahata,Carrot,Other,Local,06/04/2025,1000,2000,1500
Maharashtra,Ahmednagar,Rahata,Drumstick,Other,Local,06/04/2025,500,1000,700
Maharashtra,Ahmednagar,Rahata,Grapes,Other,Local,06/04/2025,3500,3500,3500
Maharashtra,Ahmednagar,Rahata,Mint(Pudina),Other,Local,06/04/2025,8,8,8
Maharashtra,Ahmednagar,Rahata,"Onion Green",Other,Local,06/04/2025,10,12,11
