State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Ahmednagar,Rahata,Onion Green,Other,Local,2025-04-06,10.0,12.0,11.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Bhindi(Ladies Finger),Other,Local,2025-04-06,1600.0,3000.0,2300.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Carrot,Other,Local,2025-04-06,700.0,1350.0,1025.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Chikoos(Sapota),Other,Local,2025-04-06,2400.0,3300.0,2850.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Green Chilli,Other,Local,2025-04-06,3500.0,5000.0,4250.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Guar,Other,Local,2025-04-06,1500.0,3000.0,2250.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Karbuja(Musk Melon),Other,Local,2025-04-06,600.0,1300.0,950.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Lime,Other,Local,2025-04-06,7000.0,11000.0,9000.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Mango,Other,Local,2025-04-06,19000.0,25000.0,22000.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Ridgeguard(Tori),Other,Local,2025-04-06,1000.0,1800.0,1400.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Tamarind Fruit,Other,Local,2025-04-06,5200.0,14000.0,9600.0
Maharashtra,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,2025-04-06,2520.0,2630.0,2600.0
Maharashtra,Dharashiv(Usmanabad),Dharashiv,Groundnut,Other,Non-FAQ,2025-04-06,3300.0,5000.0,4150.0
Maharashtra,Dharashiv(Usmanabad),Dharashiv,Lime,Other,Local,2025-04-06,5000.0,12000.0,8500.0
Maharashtra,Jalgaon,Bhusaval,Karbuja(Musk Melon),Other,Local,2025-04-06,1000.0,1500.0,1400.0
Maharashtra,Jalgaon,Bhusaval,Potato,Other,Local,2025-04-06,1400.0,1600.0,1500.0
Maharashtra,Jalgaon,Bhusaval,Water Melon,Other,Local,2025-04-06,1000.0,1000.0,1000.0
Maharashtra,Pune,Junnar(Narayangaon),Beans,Other,Local,2025-04-06,4000.0,5800.0,5000.0
Maharashtra,Pune,Junnar(Narayangaon),Beetroot,Other,Local,2025-04-06,300.0,1380.0,850.0
Maharashtra,Pune,Junnar(Narayangaon),Cabbage,Other,Local,2025-04-06,200.0,800.0,500.0
Maharashtra,Pune,Junnar(Narayangaon),Guar,Other,Local,2025-04-06,1500.0,6000.0,4500.0
Maharashtra,Pune,Junnar(Narayangaon),Potato,Other,Local,2025-04-06,500.0,2000.0,1500.0
Maharashtra,Pune,Junnar(Narayangaon),Ridgeguard(Tori),Other,Local,2025-04-06,610.0,4000.0,2500.0
Maharashtra,Pune,Pune(Moshi),Apple,Other,Local,2025-04-06,12000.0,12000.0,12000.0
Maharashtra,Pune,Pune(Moshi),Cauliflower,Other,Local,2025-04-06,500.0,1000.0,750.0
